Fold,MAE,MSE,RMSE,R squared value
1,9.781222821341983,113.20723656189045,10.639888935599396,0.18803345554120388
2,18.352274004221513,544.0845591822052,23.325620231458053,0.432116174399344
3,13.327536423934625,295.2424251319,17.18261985646834,-0.03830199083463648
4,22.313564751293942,539.5068530837896,23.227286821404466,-0.4628102895483177
5,17.84861740115605,378.7500362627942,19.461501387683175,0.2444561191920097
6,21.225213387699924,530.9714992031365,23.04281882068981,-0.6754665602051908
7,10.692694723060356,173.3369902516821,13.165750652799183,-2.936799222448941
8,22.945321551172192,1017.7418995625522,31.90206732427465,0.020303674911400393
9,10.068532152765547,150.50267254832585,12.267953070839726,0.3824130483859446
10,14.684599190528061,502.95619642141213,22.42668491822659,0.32570443922141346
Average,16.123957640717418,424.63003682096877,19.664219201944338,-0.252035115138577
